@relation 'jEdit 5.5.0 new'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
20,0,55,10,2,74,364,no
3,12,3,3,1,0,12,no
1,0,1,4,2,0,8,no
1,0,39,8,1,56,168,no
0,0,6,4,2,0,30,no
0,0,6,5,1,50,28,no
2,9,17,16,1,80,93,no
1,1,6,6,1,0,27,no
3,0,117,116,1,80,1421,no
0,0,1,1,1,0,8,no
3,0,5,1,1,0,31,no
4,0,5,22,4,83,31,no
1,0,8,16,2,33,49,no
1,1,29,14,1,67,138,no
5,0,7,15,2,0,43,no
6,1,17,18,3,75,121,no
